Vout, Vout
0.0,4.455
0.005005005005005005,0.6
0.01001001001001001,0.545
0.015015015015015015,0.53
0.02002002002002002,0.515
0.025025025025025023,0.505
0.03003003003003003,0.5
0.035035035035035036,0.49
0.04004004004004004,0.485
0.04504504504504504,0.485
0.050050050050050046,0.48
0.055055055055055056,0.475
0.06006006006006006,0.47
0.06506506506506507,0.465
0.07007007007007007,0.465
0.07507507507507508,0.46
0.08008008008008008,0.46
0.08508508508508508,0.455
0.09009009009009009,0.455
0.09509509509509509,0.45
0.10010010010010009,0.45
0.10510510510510511,0.45
0.11011011011011011,0.445
0.11511511511511512,0.445
0.12012012012012012,0.44
0.12512512512512514,0.44
0.13013013013013014,0.44
0.13513513513513514,0.435
0.14014014014014015,0.435
0.14514514514514515,0.435
0.15015015015015015,0.43
0.15515515515515516,0.43
0.16016016016016016,0.43
0.16516516516516516,0.43
0.17017017017017017,0.425
0.17517517517517517,0.425
0.18018018018018017,0.425
0.18518518518518517,0.425
0.19019019019019018,0.425
0.19519519519519518,0.42
0.20020020020020018,0.42
0.20520520520520522,0.42
0.21021021021021022,0.42
0.21521521521521522,0.42
0.22022022022022023,0.415
0.22522522522522523,0.415
0.23023023023023023,0.415
0.23523523523523523,0.415
0.24024024024024024,0.415
0.24524524524524524,0.41
0.2502502502502503,0.41
0.2552552552552553,0.41
0.2602602602602603,0.41
0.2652652652652653,0.41
0.2702702702702703,0.41
0.2752752752752753,0.41
0.2802802802802803,0.405
0.2852852852852853,0.405
0.2902902902902903,0.405
0.2952952952952953,0.405
0.3003003003003003,0.405
0.3053053053053053,0.405
0.3103103103103103,0.405
0.3153153153153153,0.405
0.3203203203203203,0.405
0.3253253253253253,0.4
0.3303303303303303,0.4
0.3353353353353353,0.4
0.34034034034034033,0.4
0.34534534534534533,0.4
0.35035035035035034,0.4
0.35535535535535534,0.4
0.36036036036036034,0.4
0.36536536536536535,0.4
0.37037037037037035,0.4
0.37537537537537535,0.405
0.38038038038038036,0.405
0.38538538538538536,0.405
0.39039039039039036,0.405
0.39539539539539537,0.405
0.40040040040040037,0.405
0.40540540540540543,0.41
0.41041041041041043,0.41
0.41541541541541543,0.415
0.42042042042042044,0.415
0.42542542542542544,0.42
0.43043043043043044,0.42
0.43543543543543545,0.425
0.44044044044044045,0.43
0.44544544544544545,0.43
0.45045045045045046,0.435
0.45545545545545546,0.44
0.46046046046046046,0.445
0.46546546546546547,0.45
0.47047047047047047,0.455
0.4754754754754755,0.46
0.4804804804804805,0.465
0.4854854854854855,0.47
0.4904904904904905,0.475
0.4954954954954955,0.48
0.5005005005005005,0.485
0.5055055055055055,0.49
0.5105105105105106,0.495
0.5155155155155156,0.5
0.5205205205205206,0.51
0.5255255255255256,0.51
0.5305305305305306,0.515
0.5355355355355356,0.52
0.5405405405405406,0.53
0.5455455455455456,0.53
0.5505505505505506,0.54
0.5555555555555556,0.545
0.5605605605605606,0.55
0.5655655655655656,0.555
0.5705705705705706,0.56
0.5755755755755756,0.565
0.5805805805805806,0.57
0.5855855855855856,0.575
0.5905905905905906,0.58
0.5955955955955956,0.585
0.6006006006006006,0.59
0.6056056056056056,0.595
0.6106106106106106,0.6
0.6156156156156156,0.605
0.6206206206206206,0.61
0.6256256256256256,0.615
0.6306306306306306,0.62
0.6356356356356356,0.63
0.6406406406406406,0.63
0.6456456456456456,0.635
0.6506506506506506,0.645
0.6556556556556556,0.65
0.6606606606606606,0.655
0.6656656656656657,0.66
0.6706706706706707,0.665
0.6756756756756757,0.67
0.6806806806806807,0.675
0.6856856856856857,0.68
0.6906906906906907,0.685
0.6956956956956957,0.69
0.7007007007007007,0.695
0.7057057057057057,0.7
0.7107107107107107,0.705
0.7157157157157157,0.71
0.7207207207207207,0.72
0.7257257257257257,0.725
0.7307307307307307,0.73
0.7357357357357357,0.735
0.7407407407407407,0.74
0.7457457457457457,0.745
0.7507507507507507,0.75
0.7557557557557557,0.755
0.7607607607607607,0.76
0.7657657657657657,0.77
0.7707707707707707,0.77
0.7757757757757757,0.78
0.7807807807807807,0.785
0.7857857857857857,0.79
0.7907907907907907,0.795
0.7957957957957957,0.8
0.8008008008008007,0.805
0.8058058058058059,0.81
0.8108108108108109,0.815
0.8158158158158159,0.82
0.8208208208208209,0.825
0.8258258258258259,0.83
0.8308308308308309,0.835
0.8358358358358359,0.84
0.8408408408408409,0.845
0.8458458458458459,0.85
0.8508508508508509,0.855
0.8558558558558559,0.86
0.8608608608608609,0.865
0.8658658658658659,0.875
0.8708708708708709,0.88
0.8758758758758759,0.885
0.8808808808808809,0.89
0.8858858858858859,0.895
0.8908908908908909,0.9
0.8958958958958959,0.905
0.9009009009009009,0.91
0.9059059059059059,0.915
0.9109109109109109,0.92
0.9159159159159159,0.925
0.9209209209209209,0.93
0.9259259259259259,0.935
0.9309309309309309,0.94
0.9359359359359359,0.95
0.9409409409409409,0.95
0.9459459459459459,0.955
0.950950950950951,0.965
0.955955955955956,0.97
0.960960960960961,0.975
0.965965965965966,0.98
0.970970970970971,0.985
0.975975975975976,0.99
0.980980980980981,0.995
0.985985985985986,1.0
0.990990990990991,1.005
0.995995995995996,1.01
1.001001001001001,1.02
1.006006006006006,1.025
1.011011011011011,1.03
1.016016016016016,1.035
1.021021021021021,1.04
1.026026026026026,1.045
1.031031031031031,1.05
1.0360360360360361,1.055
1.0410410410410411,1.06
1.0460460460460461,1.065
1.0510510510510511,1.07
1.0560560560560561,1.075
1.0610610610610611,1.08
1.0660660660660661,1.085
1.0710710710710711,1.09
1.0760760760760761,1.095
