Vdm, Vout
-0.2,1.205
-0.1995995995995996,1.205
-0.1991991991991992,1.2
-0.1987987987987988,1.205
-0.1983983983983984,1.205
-0.197997997997998,1.205
-0.1975975975975976,1.205
-0.19719719719719722,1.205
-0.19679679679679682,1.205
-0.19639639639639642,1.205
-0.19599599599599601,1.205
-0.1955955955955956,1.205
-0.1951951951951952,1.21
-0.1947947947947948,1.205
-0.1943943943943944,1.205
-0.193993993993994,1.205
-0.1935935935935936,1.21
-0.1931931931931932,1.21
-0.1927927927927928,1.21
-0.1923923923923924,1.21
-0.19199199199199202,1.21
-0.19159159159159161,1.21
-0.1911911911911912,1.21
-0.1907907907907908,1.21
-0.1903903903903904,1.21
-0.18998998998999,1.215
-0.1895895895895896,1.215
-0.1891891891891892,1.215
-0.1887887887887888,1.215
-0.1883883883883884,1.215
-0.187987987987988,1.215
-0.1875875875875876,1.215
-0.1871871871871872,1.22
-0.18678678678678678,1.215
-0.18638638638638638,1.22
-0.185985985985986,1.22
-0.1855855855855856,1.22
-0.1851851851851852,1.22
-0.1847847847847848,1.22
-0.1843843843843844,1.22
-0.183983983983984,1.22
-0.1835835835835836,1.22
-0.1831831831831832,1.22
-0.1827827827827828,1.22
-0.18238238238238239,1.22
-0.18198198198198198,1.22
-0.18158158158158158,1.225
-0.1811811811811812,1.225
-0.1807807807807808,1.225
-0.1803803803803804,1.225
-0.17997997997998,1.225
-0.1795795795795796,1.225
-0.1791791791791792,1.225
-0.1787787787787788,1.225
-0.1783783783783784,1.225
-0.17797797797797799,1.225
-0.17757757757757758,1.225
-0.17717717717717718,1.23
-0.17677677677677678,1.23
-0.17637637637637638,1.23
-0.17597597597597597,1.23
-0.17557557557557557,1.23
-0.1751751751751752,1.23
-0.1747747747747748,1.23
-0.1743743743743744,1.23
-0.173973973973974,1.23
-0.1735735735735736,1.23
-0.17317317317317318,1.23
-0.17277277277277278,1.23
-0.17237237237237238,1.235
-0.17197197197197198,1.235
-0.17157157157157157,1.235
-0.17117117117117117,1.235
-0.17077077077077077,1.235
-0.1703703703703704,1.235
-0.16996996996997,1.235
-0.1695695695695696,1.235
-0.1691691691691692,1.235
-0.16876876876876878,1.235
-0.16836836836836838,1.235
-0.16796796796796798,1.24
-0.16756756756756758,1.24
-0.16716716716716717,1.24
-0.16676676676676677,1.24
-0.16636636636636637,1.24
-0.16596596596596597,1.24
-0.16556556556556556,1.24
-0.16516516516516516,1.24
-0.16476476476476476,1.245
-0.16436436436436436,1.245
-0.16396396396396398,1.245
-0.16356356356356358,1.245
-0.16316316316316318,1.245
-0.16276276276276277,1.245
-0.16236236236236237,1.245
-0.16196196196196197,1.245
-0.16156156156156157,1.245
-0.16116116116116116,1.245
-0.16076076076076076,1.245
-0.16036036036036036,1.245
-0.15995995995995999,1.25
-0.15955955955955958,1.25
-0.15915915915915918,1.25
-0.15875875875875878,1.25
-0.15835835835835838,1.25
-0.15795795795795797,1.245
-0.15755755755755757,1.25
-0.15715715715715717,1.25
-0.15675675675675677,1.25
-0.15635635635635636,1.25
-0.15595595595595596,1.25
-0.15555555555555556,1.255
-0.15515515515515516,1.255
-0.15475475475475475,1.255
-0.15435435435435435,1.255
-0.15395395395395395,1.255
-0.15355355355355355,1.255
-0.15315315315315317,1.255
-0.15275275275275277,1.255
-0.15235235235235237,1.255
-0.15195195195195196,1.26
-0.15155155155155156,1.26
-0.15115115115115116,1.26
-0.15075075075075076,1.26
-0.15035035035035035,1.26
-0.14994994994994995,1.26
-0.14954954954954955,1.26
-0.14914914914914917,1.26
-0.14874874874874877,1.26
-0.14834834834834837,1.26
-0.14794794794794797,1.26
-0.14754754754754756,1.265
-0.14714714714714716,1.265
-0.14674674674674676,1.265
-0.14634634634634636,1.265
-0.14594594594594595,1.265
-0.14554554554554555,1.265
-0.14514514514514515,1.265
-0.14474474474474475,1.265
-0.14434434434434434,1.265
-0.14394394394394394,1.265
-0.14354354354354354,1.27
-0.14314314314314314,1.27
-0.14274274274274273,1.27
-0.14234234234234236,1.27
-0.14194194194194196,1.27
-0.14154154154154155,1.27
-0.14114114114114115,1.27
-0.14074074074074075,1.27
-0.14034034034034035,1.27
-0.13993993993993994,1.27
-0.13953953953953954,1.27
-0.13913913913913914,1.27
-0.13873873873873874,1.275
-0.13833833833833836,1.275
-0.13793793793793796,1.275
-0.13753753753753756,1.275
-0.13713713713713716,1.275
-0.13673673673673675,1.275
-0.13633633633633635,1.275
-0.13593593593593595,1.275
-0.13553553553553555,1.275
-0.13513513513513514,1.275
-0.13473473473473474,1.275
-0.13433433433433434,1.28
-0.13393393393393394,1.28
-0.13353353353353353,1.28
-0.13313313313313313,1.28
-0.13273273273273273,1.28
-0.13233233233233233,1.28
-0.13193193193193192,1.28
-0.13153153153153152,1.285
-0.13113113113113115,1.285
-0.13073073073073074,1.285
-0.13033033033033034,1.285
-0.12992992992992994,1.285
-0.12952952952952954,1.285
-0.12912912912912913,1.285
-0.12872872872872873,1.285
-0.12832832832832836,1.285
-0.12792792792792795,1.285
-0.12752752752752755,1.285
-0.12712712712712715,1.29
-0.12672672672672675,1.29
-0.12632632632632634,1.29
-0.12592592592592594,1.29
-0.12552552552552554,1.29
-0.12512512512512514,1.29
-0.12472472472472473,1.29
-0.12432432432432433,1.29
-0.12392392392392393,1.29
-0.12352352352352353,1.295
-0.12312312312312312,1.295
-0.12272272272272274,1.295
-0.12232232232232233,1.295
-0.12192192192192193,1.295
-0.12152152152152153,1.295
-0.12112112112112113,1.295
-0.12072072072072072,1.3
-0.12032032032032033,1.295
-0.11991991991991993,1.3
-0.11951951951951953,1.3
-0.11911911911911913,1.3
-0.11871871871871872,1.3
-0.11831831831831832,1.3
-0.11791791791791792,1.3
-0.11751751751751753,1.3
-0.11711711711711713,1.3
-0.11671671671671673,1.305
-0.11631631631631632,1.305
-0.11591591591591592,1.305
-0.11551551551551552,1.305
-0.11511511511511512,1.305
-0.11471471471471473,1.305
-0.11431431431431432,1.3
-0.11391391391391392,1.3
-0.11351351351351352,1.305
-0.11311311311311312,1.305
-0.11271271271271271,1.305
-0.11231231231231233,1.305
-0.11191191191191192,1.305
-0.11151151151151152,1.305
-0.11111111111111112,1.31
-0.11071071071071072,1.31
-0.11031031031031031,1.31
-0.10990990990990991,1.31
-0.10950950950950952,1.31
-0.10910910910910912,1.31
-0.10870870870870872,1.315
-0.10830830830830832,1.315
-0.10790790790790791,1.315
-0.10750750750750751,1.315
-0.10710710710710711,1.315
-0.10670670670670672,1.315
-0.10630630630630632,1.315
-0.10590590590590591,1.315
-0.10550550550550551,1.315
-0.10510510510510511,1.32
-0.1047047047047047,1.32
-0.1043043043043043,1.32
-0.10390390390390392,1.32
-0.10350350350350351,1.32
-0.10310310310310311,1.32
-0.10270270270270271,1.32
-0.1023023023023023,1.32
-0.1019019019019019,1.32
-0.10150150150150151,1.325
-0.10110110110110111,1.325
-0.10070070070070071,1.325
-0.10030030030030031,1.325
-0.0998998998998999,1.325
-0.0994994994994995,1.325
-0.0990990990990991,1.325
-0.09869869869869871,1.33
-0.09829829829829831,1.33
-0.0978978978978979,1.33
-0.0974974974974975,1.33
-0.0970970970970971,1.33
-0.0966966966966967,1.33
-0.0962962962962963,1.33
-0.09589589589589591,1.33
-0.0954954954954955,1.33
-0.0950950950950951,1.33
-0.0946946946946947,1.335
-0.0942942942942943,1.335
-0.0938938938938939,1.335
-0.09349349349349349,1.335
-0.0930930930930931,1.335
-0.0926926926926927,1.335
-0.0922922922922923,1.335
-0.0918918918918919,1.335
-0.0914914914914915,1.34
-0.09109109109109109,1.34
-0.0906906906906907,1.34
-0.0902902902902903,1.34
-0.0898898898898899,1.34
-0.0894894894894895,1.34
-0.0890890890890891,1.34
-0.08868868868868869,1.345
-0.08828828828828829,1.34
-0.0878878878878879,1.345
-0.0874874874874875,1.345
-0.0870870870870871,1.345
-0.08668668668668669,1.345
-0.08628628628628629,1.345
-0.08588588588588589,1.345
-0.08548548548548549,1.35
-0.0850850850850851,1.35
-0.0846846846846847,1.35
-0.08428428428428429,1.35
-0.08388388388388389,1.35
-0.08348348348348349,1.35
-0.08308308308308308,1.35
-0.08268268268268268,1.35
-0.08228228228228229,1.35
-0.08188188188188189,1.355
-0.08148148148148149,1.355
-0.08108108108108109,1.355
-0.08068068068068068,1.355
-0.08028028028028028,1.355
-0.07987987987987989,1.355
-0.07947947947947949,1.355
-0.07907907907907909,1.36
-0.07867867867867868,1.36
-0.07827827827827828,1.36
-0.07787787787787788,1.36
-0.07747747747747748,1.36
-0.07707707707707709,1.36
-0.07667667667667669,1.365
-0.07627627627627628,1.365
-0.07587587587587588,1.365
