Vout, Iout
-1.0,9.38e-05
-0.997997997997998,9.37e-05
-0.995995995995996,9.37e-05
-0.993993993993994,9.37e-05
-0.991991991991992,9.37e-05
-0.98998998998999,9.37e-05
-0.987987987987988,9.37e-05
-0.985985985985986,9.37e-05
-0.983983983983984,9.37e-05
-0.9819819819819819,9.37e-05
-0.97997997997998,9.36e-05
-0.977977977977978,9.37e-05
-0.975975975975976,9.37e-05
-0.973973973973974,9.37e-05
-0.9719719719719719,9.36e-05
-0.96996996996997,9.35e-05
-0.967967967967968,9.37e-05
-0.965965965965966,9.37e-05
-0.963963963963964,9.37e-05
-0.9619619619619619,9.37e-05
-0.95995995995996,9.37e-05
-0.957957957957958,9.37e-05
-0.955955955955956,9.37e-05
-0.953953953953954,9.37e-05
-0.9519519519519519,9.37e-05
-0.94994994994995,9.37e-05
-0.9479479479479479,9.37e-05
-0.9459459459459459,9.37e-05
-0.943943943943944,9.38e-05
-0.9419419419419419,9.37e-05
-0.93993993993994,9.37e-05
-0.9379379379379379,9.37e-05
-0.9359359359359359,9.37e-05
-0.933933933933934,9.37e-05
-0.9319319319319319,9.37e-05
-0.92992992992993,9.37e-05
-0.9279279279279279,9.37e-05
-0.9259259259259259,9.37e-05
-0.9239239239239239,9.37e-05
-0.9219219219219219,9.37e-05
-0.91991991991992,9.37e-05
-0.9179179179179179,9.37e-05
-0.9159159159159159,9.37e-05
-0.9139139139139139,9.37e-05
-0.9119119119119119,9.38e-05
-0.9099099099099099,9.37e-05
-0.9079079079079079,9.37e-05
-0.9059059059059059,9.37e-05
-0.9039039039039038,9.37e-05
-0.9019019019019019,9.35e-05
-0.8998998998998999,9.37e-05
-0.8978978978978979,9.37e-05
-0.8958958958958959,9.37e-05
-0.8938938938938938,9.37e-05
-0.8918918918918919,9.37e-05
-0.8898898898898899,9.37e-05
-0.8878878878878879,9.36e-05
-0.8858858858858859,9.37e-05
-0.8838838838838838,9.36e-05
-0.8818818818818819,9.36e-05
-0.8798798798798799,9.37e-05
-0.8778778778778779,9.37e-05
-0.8758758758758759,9.37e-05
-0.8738738738738738,9.37e-05
-0.8718718718718719,9.37e-05
-0.8698698698698699,9.37e-05
-0.8678678678678678,9.37e-05
-0.8658658658658659,9.37e-05
-0.8638638638638638,9.37e-05
-0.8618618618618619,9.38e-05
-0.8598598598598599,9.37e-05
-0.8578578578578578,9.37e-05
-0.8558558558558559,9.37e-05
-0.8538538538538538,9.36e-05
-0.8518518518518519,9.37e-05
-0.8498498498498499,9.37e-05
-0.8478478478478478,9.37e-05
-0.8458458458458459,9.38e-05
-0.8438438438438438,9.37e-05
-0.8418418418418419,9.37e-05
-0.8398398398398399,9.37e-05
-0.8378378378378378,9.37e-05
-0.8358358358358359,9.38e-05
-0.8338338338338338,9.37e-05
-0.8318318318318318,9.37e-05
-0.8298298298298299,9.38e-05
-0.8278278278278278,9.38e-05
-0.8258258258258259,9.37e-05
-0.8238238238238238,9.37e-05
-0.8218218218218218,9.38e-05
-0.8198198198198199,9.37e-05
-0.8178178178178178,9.38e-05
-0.8158158158158157,9.38e-05
-0.8138138138138138,9.37e-05
-0.8118118118118118,9.37e-05
-0.8098098098098099,9.37e-05
-0.8078078078078078,9.38e-05
-0.8058058058058057,9.37e-05
-0.8038038038038038,9.37e-05
-0.8018018018018018,9.37e-05
-0.7997997997997999,9.38e-05
-0.7977977977977978,9.37e-05
-0.7957957957957957,9.37e-05
-0.7937937937937938,9.37e-05
-0.7917917917917918,9.37e-05
-0.7897897897897898,9.38e-05
-0.7877877877877878,9.37e-05
-0.7857857857857857,9.37e-05
-0.7837837837837838,9.37e-05
-0.7817817817817818,9.37e-05
-0.7797797797797797,9.37e-05
-0.7777777777777778,9.37e-05
-0.7757757757757757,9.37e-05
-0.7737737737737738,9.37e-05
-0.7717717717717718,9.37e-05
-0.7697697697697697,9.37e-05
-0.7677677677677678,9.37e-05
-0.7657657657657657,9.37e-05
-0.7637637637637638,9.37e-05
-0.7617617617617618,9.37e-05
-0.7597597597597597,9.37e-05
-0.7577577577577578,9.37e-05
-0.7557557557557557,9.37e-05
-0.7537537537537538,9.37e-05
-0.7517517517517518,9.37e-05
-0.7497497497497497,9.37e-05
-0.7477477477477478,9.37e-05
-0.7457457457457457,9.37e-05
-0.7437437437437437,9.37e-05
-0.7417417417417418,9.37e-05
-0.7397397397397397,9.37e-05
-0.7377377377377378,9.37e-05
-0.7357357357357357,9.37e-05
-0.7337337337337337,9.37e-05
-0.7317317317317318,9.37e-05
-0.7297297297297297,9.37e-05
-0.7277277277277278,9.37e-05
-0.7257257257257257,9.37e-05
-0.7237237237237237,9.36e-05
-0.7217217217217218,9.35e-05
-0.7197197197197197,9.36e-05
-0.7177177177177176,9.36e-05
-0.7157157157157157,9.36e-05
-0.7137137137137137,9.36e-05
-0.7117117117117118,9.35e-05
-0.7097097097097097,9.34e-05
-0.7077077077077076,9.36e-05
-0.7057057057057057,9.37e-05
-0.7037037037037037,9.36e-05
-0.7017017017017018,9.36e-05
-0.6996996996996997,9.36e-05
-0.6976976976976976,9.35e-05
-0.6956956956956957,9.36e-05
-0.6936936936936937,9.36e-05
-0.6916916916916918,9.36e-05
-0.6896896896896897,9.36e-05
-0.6876876876876876,9.36e-05
-0.6856856856856857,9.36e-05
-0.6836836836836837,9.35e-05
-0.6816816816816818,9.35e-05
-0.6796796796796797,9.34e-05
-0.6776776776776776,9.34e-05
-0.6756756756756757,9.34e-05
-0.6736736736736737,9.35e-05
-0.6716716716716717,9.35e-05
-0.6696696696696697,9.34e-05
-0.6676676676676676,9.34e-05
-0.6656656656656657,9.34e-05
-0.6636636636636637,9.34e-05
-0.6616616616616617,9.34e-05
-0.6596596596596597,9.34e-05
-0.6576576576576576,9.34e-05
-0.6556556556556556,9.33e-05
-0.6536536536536537,9.33e-05
-0.6516516516516517,9.33e-05
-0.6496496496496497,9.33e-05
-0.6476476476476476,9.32e-05
-0.6456456456456456,9.32e-05
-0.6436436436436437,9.31e-05
-0.6416416416416417,9.31e-05
-0.6396396396396397,9.31e-05
-0.6376376376376376,9.31e-05
-0.6356356356356356,9.31e-05
-0.6336336336336337,9.3e-05
-0.6316316316316316,9.3e-05
-0.6296296296296297,9.3e-05
-0.6276276276276276,9.29e-05
-0.6256256256256256,9.29e-05
-0.6236236236236237,9.29e-05
-0.6216216216216216,9.27e-05
-0.6196196196196196,9.27e-05
-0.6176176176176176,9.25e-05
-0.6156156156156156,9.26e-05
-0.6136136136136137,9.24e-05
-0.6116116116116116,9.24e-05
-0.6096096096096096,9.25e-05
-0.6076076076076076,9.24e-05
-0.6056056056056056,9.24e-05
-0.6036036036036037,9.24e-05
-0.6016016016016016,9.23e-05
-0.5995995995995996,9.23e-05
-0.5975975975975976,9.22e-05
-0.5955955955955956,9.22e-05
-0.5935935935935936,9.21e-05
-0.5915915915915916,9.21e-05
-0.5895895895895895,9.19e-05
-0.5875875875875876,9.2e-05
-0.5855855855855856,9.19e-05
-0.5835835835835836,9.18e-05
-0.5815815815815816,9.18e-05
-0.5795795795795795,9.17e-05
-0.5775775775775776,9.16e-05
-0.5755755755755756,9.16e-05
-0.5735735735735736,9.14e-05
-0.5715715715715716,9.14e-05
-0.5695695695695695,9.13e-05
-0.5675675675675675,9.12e-05
-0.5655655655655656,9.11e-05
-0.5635635635635636,9.1e-05
-0.5615615615615616,9.1e-05
-0.5595595595595595,9.09e-05
-0.5575575575575575,9.08e-05
-0.5555555555555556,9.07e-05
-0.5535535535535536,9.06e-05
-0.5515515515515516,9.05e-05
-0.5495495495495495,9.04e-05
-0.5475475475475475,9.03e-05
-0.5455455455455456,9.02e-05
-0.5435435435435436,9.01e-05
-0.5415415415415415,9e-05
-0.5395395395395395,8.99e-05
-0.5375375375375375,8.98e-05
-0.5355355355355356,8.96e-05
-0.5335335335335336,8.95e-05
-0.5315315315315315,8.94e-05
-0.5295295295295295,8.92e-05
-0.5275275275275275,8.91e-05
-0.5255255255255256,8.9e-05
-0.5235235235235236,8.89e-05
-0.5215215215215215,8.88e-05
-0.5195195195195195,8.87e-05
-0.5175175175175175,8.85e-05
-0.5155155155155156,8.84e-05
-0.5135135135135136,8.82e-05
-0.5115115115115115,8.81e-05
-0.5095095095095095,8.8e-05
-0.5075075075075075,8.78e-05
-0.5055055055055055,8.77e-05
-0.5035035035035035,8.75e-05
-0.5015015015015015,8.74e-05
-0.49949949949949946,8.73e-05
-0.4974974974974975,8.7e-05
-0.49549549549549554,8.69e-05
-0.4934934934934935,8.67e-05
-0.4914914914914915,8.66e-05
-0.48948948948948945,8.64e-05
-0.4874874874874875,8.63e-05
-0.48548548548548554,8.61e-05
-0.48348348348348347,8.6e-05
-0.4814814814814815,8.58e-05
-0.47947947947947944,8.57e-05
-0.4774774774774775,8.55e-05
-0.47547547547547553,8.53e-05
-0.47347347347347346,8.51e-05
-0.4714714714714715,8.49e-05
-0.46946946946946944,8.48e-05
-0.4674674674674675,8.46e-05
-0.4654654654654655,8.43e-05
-0.46346346346346345,8.43e-05
-0.4614614614614615,8.4e-05
-0.45945945945945943,8.38e-05
-0.4574574574574575,8.36e-05
-0.4554554554554555,8.34e-05
-0.45345345345345345,8.32e-05
-0.4514514514514515,8.3e-05
-0.4494494494494494,8.28e-05
-0.44744744744744747,8.26e-05
-0.4454454454454454,8.24e-05
-0.44344344344344344,8.22e-05
-0.4414414414414415,8.2e-05
-0.4394394394394394,8.18e-05
-0.43743743743743746,8.15e-05
-0.4354354354354354,8.13e-05
-0.43343343343343343,8.1e-05
-0.4314314314314315,8.08e-05
-0.4294294294294294,8.06e-05
-0.42742742742742745,8.04e-05
-0.4254254254254254,8.02e-05
-0.42342342342342343,7.99e-05
-0.42142142142142147,7.97e-05
-0.4194194194194194,7.94e-05
-0.41741741741741745,7.91e-05
-0.4154154154154154,7.9e-05
-0.4134134134134134,7.87e-05
-0.41141141141141147,7.85e-05
-0.4094094094094094,7.82e-05
-0.40740740740740744,7.79e-05
-0.4054054054054054,7.77e-05
-0.4034034034034034,7.74e-05
-0.40140140140140146,7.72e-05
-0.3993993993993994,7.69e-05
-0.39739739739739743,7.66e-05
-0.39539539539539537,7.63e-05
-0.3933933933933934,7.61e-05
-0.39139139139139134,7.58e-05
-0.3893893893893894,7.55e-05
-0.3873873873873874,7.52e-05
-0.38538538538538536,7.5e-05
-0.3833833833833834,7.47e-05
-0.38138138138138133,7.44e-05
-0.3793793793793794,7.41e-05
-0.3773773773773774,7.38e-05
-0.37537537537537535,7.36e-05
-0.3733733733733734,7.33e-05
-0.37137137137137133,7.3e-05
-0.36936936936936937,7.27e-05
-0.3673673673673674,7.24e-05
-0.36536536536536535,7.21e-05
-0.3633633633633634,7.18e-05
